name,url,data_type,ml_use,quality,access_notes
FRED,https://fred.stlouisfed.org/,"Macro, rates, inflation, labor","Regime detection, macro alpha, risk features",Alta,API key recommended; free official source.
SEC EDGAR,https://www.sec.gov/edgar,"10-K, 10-Q, 8-K, 13F filings","NLP, event detection, fundamentals",Alta,Use fair-access User-Agent and rate limits.
Yahoo Finance,https://finance.yahoo.com/,"Historical prices, volumes, basic fundamentals",Backtest prototypes and feature engineering,Media-alta,Unofficial access libraries can break; cache locally.
Stooq,https://stooq.com/,"Historical prices, indices, FX",Backtest and factor research,Media-alta,Prefer light/manual downloads; avoid aggressive scraping.
GDELT,https://www.gdeltproject.org/,"Global news, events, media attention","Sentiment, event trading, attention signals",Media-alta,Public APIs and BigQuery options.
Google Trends,https://trends.google.com/,Search interest,"Demand proxy, attention factor",Media,Unofficial clients can be rate-limited.
Wikipedia Pageviews,https://pageviews.wmcloud.org/,Page traffic,Attention factor and event studies,Media,Public Wikimedia APIs.
OpenInsider,https://openinsider.com/,Form 4 insider trading,Insider-sentiment features,Media-alta,Respect website terms and low request rates.
TradingView free,https://www.tradingview.com/,"Charts, screening, indicators","Research, validation, workflow",Media,Use manually/free features; do not bypass restrictions.
OpenBB,https://openbb.co/,Finance data access layer,Research pipeline and provider abstraction,Alta come strumento,Quality depends on configured providers.
Polymarket,https://polymarket.com/,Prediction market prices/probabilities,Event-risk and expectation features,Media,Use public APIs only; cache and validate markets.
Stocktwits,https://stocktwits.com/,Social market messages,Retail attention and sentiment features,Media,Use official/public endpoints where available.
