name,category,url,env_var,openbb_credential,data_type,ml_use,quality,free_tier,notes
Alpha Vantage,Market Data / Fundamentals,https://www.alphavantage.co/,ALPHA_VANTAGE_API_KEY,alpha_vantage_api_key,"OHLCV, fundamentals, FX, crypto, technical indicators","Feature engineering, prototyping, cross-asset signals",Media-alta,"Yes, rate-limited",Good for prototypes; respect free-tier throttles.
Tiingo,Market Data / News,https://www.tiingo.com/,TIINGO_TOKEN,tiingo_token,"Equity prices, IEX data, news, crypto","Backtests, news features, cleaned daily prices",Alta,"Yes, limited",Useful stable source for adjusted daily price research.
Financial Modeling Prep,Fundamentals / Market Data,https://financialmodelingprep.com/,FMP_API_KEY,fmp_api_key,"Financial statements, ratios, profiles, prices","Fundamental factors, cross-sectional ML, screening",Media-alta,"Yes, limited",Good coverage for equity fundamentals; validate fields before production use.
Polygon,Market Data,https://polygon.io/,POLYGON_API_KEY,polygon_api_key,"Stocks, options, indices, FX, crypto","Backtests, intraday features, event studies",Alta,"Yes, limited",Strong API design; paid plans needed for many historical/intraday workflows.
Intrinio,Fundamentals / Market Data,https://intrinio.com/,INTRINIO_API_KEY,intrinio_api_key,"Fundamentals, estimates, prices, ownership","Fundamental ML, valuation features, entity-level datasets",Alta,Developer/trial dependent,Licensing and endpoint access vary by subscription.
FRED,Macro,https://fred.stlouisfed.org/,FRED_API_KEY,fred_api_key,"Macro, rates, inflation, labor, recession indicators","Regime detection, macro alpha, risk features",Alta,Yes,Use for macro regimes and robustness analysis.
BLS,Macro / Labor,https://www.bls.gov/developers/,BLS_API_KEY,,"Labor market, CPI, PPI, productivity","Inflation/labor regimes, macro nowcasting features",Alta,Yes,Good official source; batch API supports multiple series.
CFTC,Futures / Positioning,https://publicreporting.cftc.gov/,CFTC_APP_TOKEN,,"Commitments of Traders, futures positioning","Positioning factors, sentiment, crowded-trade risk",Alta,Yes,Socrata app token improves limits but public access is possible.
Congress.gov,Government / Policy,https://api.congress.gov/,CONGRESS_GOV_API_KEY,,"Bills, amendments, members, policy events","Policy-event features, sector risk, legislative attention",Media-alta,Yes,Useful for policy/regulatory event signals.
EconDB,Macro,https://www.econdb.com/,ECONDB_API_KEY,,Global macro time series,"Global regime features, country macro panels",Media-alta,"Yes, terms dependent",Complements FRED for broader country coverage.
EIA,Energy / Macro,https://www.eia.gov/opendata/,EIA_API_KEY,,"Energy prices, inventories, production, consumption","Energy factors, inflation inputs, commodity regime signals",Alta,Yes,Official US energy data with broad historical coverage.
Nasdaq Data Link,Market / Alternative / Fundamentals,https://data.nasdaq.com/,NASDAQ_API_KEY,nasdaq_api_key,"Datasets vary by vendor: prices, fundamentals, alternative data","Research datasets, factor inputs, macro/commodity panels",Alta,Some free datasets; many paid,Former Quandl. Dataset-level licensing matters.
