fold_date,model,rmse,mae,r2,directional_accuracy,N
2022-03-31,linear,73.8960,61.5578,0.6336,0.5000,4
2022-03-31,elastic_net,77.8138,60.2775,0.5937,0.7500,4
2022-03-31,random_forest,97.8979,68.6279,0.3570,0.7500,4
2022-06-30,linear,97.9533,60.9586,0.6853,1.0000,4
2022-06-30,elastic_net,103.4184,88.7020,0.6492,0.7500,4
2022-06-30,random_forest,64.6661,53.8916,0.8628,0.7500,4
2022-09-30,linear,133.7322,101.7488,0.7193,1.0000,4
2022-09-30,elastic_net,145.4235,116.3395,0.6681,1.0000,4
2022-09-30,random_forest,164.5635,139.2304,0.5750,0.7500,4
2022-12-31,linear,131.4154,95.2457,0.7372,0.7500,4
2022-12-31,elastic_net,135.7888,93.4882,0.7195,1.0000,4
2022-12-31,random_forest,138.0088,107.6809,0.7102,0.7500,4
2023-03-31,linear,67.5116,52.4552,0.7668,0.7500,4
2023-03-31,elastic_net,37.8629,32.9479,0.9266,1.0000,4
2023-03-31,random_forest,64.7405,55.7044,0.7855,1.0000,4
2023-06-30,linear,47.9895,46.0496,0.8869,1.0000,4
2023-06-30,elastic_net,38.4348,36.4632,0.9275,0.7500,4
2023-06-30,random_forest,60.2965,48.6788,0.8215,0.7500,4
2023-09-30,linear,124.1467,112.5075,0.4851,0.7500,4
2023-09-30,elastic_net,52.1682,48.4902,0.9091,1.0000,4
2023-09-30,random_forest,81.3487,69.2182,0.7789,1.0000,4
2023-12-31,linear,99.8190,78.8959,0.8169,1.0000,4
2023-12-31,elastic_net,110.0751,84.3030,0.7773,0.7500,4
2023-12-31,random_forest,120.5460,84.6359,0.7329,0.7500,4
2024-03-31,linear,62.4955,48.9179,0.8502,1.0000,4
2024-03-31,elastic_net,59.9658,48.3776,0.8621,0.7500,4
2024-03-31,random_forest,74.1462,58.5057,0.7892,0.7500,4
2024-06-30,linear,61.6657,51.1194,0.7961,1.0000,4
2024-06-30,elastic_net,42.3171,36.4474,0.9040,1.0000,4
2024-06-30,random_forest,63.5550,51.3037,0.7834,1.0000,4
2024-09-30,linear,49.1334,45.6914,0.9274,0.7500,4
2024-09-30,elastic_net,59.0696,55.0308,0.8951,0.7500,4
2024-09-30,random_forest,77.0593,74.5250,0.8215,0.7500,4
