variable,el_tcel,el_ecl,ecl_tcel_gap,eva_tcel,eva_ecl,raroc_tcel,raroc_ecl,gdp_growth,macro_stress_index,stage2_ratio,N
el_tcel,1.0000,0.7792,0.1517,-0.8750,-0.8505,-0.7422,-0.7393,-0.0149,-0.0012,0.0031,128
el_ecl,0.7792,1.0000,0.7378,-0.6790,-0.8213,-0.5741,-0.6368,-0.5043,0.5327,0.5298,128
ecl_tcel_gap,0.1517,0.7378,1.0000,-0.1284,-0.3792,-0.1060,-0.2080,-0.7792,0.8413,0.8322,128
eva_tcel,-0.8750,-0.6790,-0.1284,1.0000,0.9632,0.9025,0.8949,-0.0127,0.0354,0.0271,128
eva_ecl,-0.8505,-0.8213,-0.3792,0.9632,1.0000,0.8674,0.8936,0.2172,-0.2183,-0.2203,128
raroc_tcel,-0.7422,-0.5741,-0.1060,0.9025,0.8674,1.0000,0.9890,-0.0416,0.0547,0.0514,128
raroc_ecl,-0.7393,-0.6368,-0.2080,0.8949,0.8936,0.9890,1.0000,0.0856,-0.0839,-0.0861,128
gdp_growth,-0.0149,-0.5043,-0.7792,-0.0127,0.2172,-0.0416,0.0856,1.0000,-0.9218,-0.8574,128
macro_stress_index,-0.0012,0.5327,0.8413,0.0354,-0.2183,0.0547,-0.0839,-0.9218,1.0000,0.9331,128
stage2_ratio,0.0031,0.5298,0.8322,0.0271,-0.2203,0.0514,-0.0861,-0.8574,0.9331,1.0000,128
